Latitude Longitude RSSI(dBm)
40.915253 -73.121809 -65.000000
40.915265 -73.121826 -67.000000
40.915278 -73.121839 -67.000000
40.915278 -73.121839 -61.000000
40.915278 -73.121839 -63.000000
40.915278 -73.121839 -65.000000
40.915278 -73.121839 -63.000000
40.915278 -73.121839 -63.000000
40.915278 -73.121839 -61.000000
40.915278 -73.121839 -61.000000
40.915278 -73.121839 -61.000000
40.915278 -73.121839 -63.000000
40.915278 -73.121839 -59.000000
40.915278 -73.121839 -67.000000
40.915278 -73.121839 -65.000000
40.915278 -73.121839 -67.000000
40.915278 -73.121839 -73.000000
40.915125 -73.122312 -71.000000
40.914980 -73.122232 -65.000000
40.914942 -73.122235 -63.000000
40.914920 -73.122250 -65.000000
40.914882 -73.122273 -71.000000
40.914854 -73.122292 -75.000000
40.914843 -73.122299 -73.000000
40.914668 -73.124231 -53.000000
40.914704 -73.124217 -51.000000
40.914742 -73.124209 -57.000000
40.914848 -73.124177 -51.000000
40.914882 -73.124184 -55.000000
40.914980 -73.124165 -51.000000
40.915003 -73.124141 -51.000000
40.915052 -73.124126 -51.000000
40.915075 -73.124133 -51.000000
40.915091 -73.124129 -51.000000
40.915132 -73.124083 -53.000000
40.915136 -73.124077 -55.000000
40.915226 -73.123872 -53.000000
40.915242 -73.123775 -57.000000
40.915227 -73.123731 -55.000000
40.915196 -73.123714 -57.000000
40.915196 -73.123723 -55.000000
40.915170 -73.123705 -51.000000
40.915151 -73.123685 -51.000000
40.915094 -73.123604 -51.000000
40.915039 -73.123454 -59.000000
40.915005 -73.123373 -55.000000
40.914984 -73.123230 -59.000000
40.914958 -73.123181 -51.000000
40.914915 -73.123126 -53.000000
40.914908 -73.123091 -63.000000
40.914904 -73.123040 -61.000000
40.914853 -73.122998 -59.000000
40.914837 -73.122969 -65.000000
40.914814 -73.122916 -69.000000
40.914799 -73.122849 -69.000000
40.914790 -73.122821 -69.000000
40.914786 -73.122675 -71.000000
40.914805 -73.122631 -69.000000
40.914847 -73.122519 -63.000000
40.914854 -73.122476 -63.000000
40.914860 -73.122438 -63.000000
40.914875 -73.122341 -67.000000
40.914880 -73.122265 -65.000000
40.914857 -73.122143 -63.000000
40.914850 -73.122108 -67.000000
40.914843 -73.122075 -67.000000
40.914870 -73.121542 -63.000000
40.914891 -73.121517 -69.000000
40.914912 -73.121441 -69.000000
40.914898 -73.121374 -69.000000
40.914882 -73.121329 -65.000000
40.914887 -73.121262 -65.000000
40.914943 -73.121232 -69.000000
40.915057 -73.121154 -69.000000
40.915111 -73.121111 -67.000000
40.915171 -73.121075 -69.000000
40.915238 -73.121033 -71.000000
40.915221 -73.120984 -73.000000
40.915196 -73.120966 -71.000000
40.915172 -73.120925 -73.000000
40.915187 -73.120891 -71.000000
40.915198 -73.120845 -73.000000
40.915233 -73.120778 -75.000000
40.915249 -73.120763 -75.000000
40.915267 -73.120739 -79.000000
40.915292 -73.120733 -77.000000
40.915309 -73.120712 -77.000000
40.915317 -73.120733 -77.000000
40.915320 -73.120730 -73.000000
40.915381 -73.120732 -77.000000
40.915408 -73.120738 -75.000000
40.915444 -73.120735 -75.000000
40.915482 -73.120701 -73.000000
40.915529 -73.120632 -73.000000
40.915555 -73.120584 -75.000000
40.915552 -73.120551 -75.000000
40.915561 -73.120551 -69.000000
40.915717 -73.120525 -65.000000
40.915699 -73.120533 -59.000000
40.915687 -73.120535 -61.000000
40.915641 -73.120544 -71.000000
40.915597 -73.120556 -73.000000
40.915575 -73.120570 -77.000000
40.915529 -73.120590 -77.000000
40.915492 -73.120606 -79.000000
40.915467 -73.120615 -83.000000
40.915415 -73.120634 -81.000000
40.915381 -73.120650 -77.000000
40.915356 -73.120660 -75.000000
40.915297 -73.120692 -75.000000
40.915297 -73.120692 -75.000000
40.915209 -73.120752 -83.000000
40.915173 -73.120783 -85.000000
40.915150 -73.120801 -81.000000
40.915135 -73.120816 -81.000000
40.915076 -73.120859 -79.000000
40.915051 -73.120889 -83.000000
40.915030 -73.120926 -75.000000
40.915030 -73.120968 -75.000000
40.915006 -73.121030 -77.000000
